0,1,2,3,4,5,6,7
255,0,250,254,253,254,255,255
254,0,255,255,254,255,255,254
0,22,244,255,248,254,255,255
0,15,245,254,252,254,254,254
172,5,253,255,255,255,254,254
255,2,254,255,255,255,255,254
0,14,249,253,252,254,254,254
0,3,252,255,250,254,253,254
0,13,251,254,238,253,252,255
0,21,253,255,253,255,255,255
0,8,253,255,253,255,254,255
0,2,252,255,254,254,254,254
0,14,251,253,254,254,255,254
0,7,251,254,253,254,254,254
0,10,249,254,253,253,254,254
0,5,254,252,250,254,248,253
0,3,248,254,254,254,251,250
0,4,253,255,254,255,255,255
255,0,255,255,255,255,255,255
181,2,254,253,254,254,254,254
145,4,252,255,254,255,254,254
0,1,250,253,255,255,254,255
255,0,255,255,255,254,255,255
1,0,253,255,255,255,255,254
0,2,254,255,255,253,254,254
0,1,251,255,255,255,255,255
6,0,255,255,255,254,254,254
255,0,254,255,255,255,254,254
0,19,251,255,254,254,255,253
0,30,247,255,253,255,255,255
0,10,252,254,254,255,255,253
0,3,247,254,254,255,254,254
0,15,253,255,254,255,255,255
255,7,252,254,255,253,254,255
0,18,252,251,252,253,254,250
0,7,249,255,255,255,255,255
0,11,254,255,254,254,253,255
134,0,248,255,253,254,254,254
0,14,253,255,253,255,255,255
0,12,247,255,251,255,255,255
5,4,251,255,255,255,254,253
0,65,247,254,250,254,255,255
0,11,252,254,253,255,254,255
0,8,253,254,254,254,254,254
0,3,252,255,254,255,252,255
0,33,252,254,253,254,254,254
255,5,253,255,254,255,255,254
0,38,247,254,254,254,255,254
222,0,254,255,255,255,255,255
255,36,220,255,254,248,255,255
0,4,250,253,254,254,254,254
0,10,251,254,249,254,254,254
0,17,239,255,253,251,254,251
0,5,252,253,253,254,255,255
0,31,250,254,247,253,255,255
85,0,254,255,255,253,254,254
255,15,241,255,253,255,254,254
0,24,251,255,253,255,255,255
0,7,250,254,252,252,253,255
0,14,252,249,249,254,253,253
0,12,242,254,253,252,253,253
249,3,250,255,255,255,255,255
0,10,252,254,252,252,254,255
0,3,254,255,254,254,254,255
0,11,239,255,252,254,255,255
0,26,253,255,254,255,255,255
0,6,253,254,249,255,254,255
0,15,248,255,254,252,250,254
255,1,253,255,255,255,254,255
255,2,255,255,255,255,255,255
0,6,250,254,254,249,254,254
255,4,255,255,251,252,255,255
255,0,248,255,255,254,254,254
0,29,252,255,250,252,255,255
255,4,252,255,255,255,255,255
0,22,246,253,231,253,251,252
0,1,254,255,254,255,255,255
0,44,232,254,238,249,253,255
0,6,251,255,253,254,255,255
255,7,252,255,254,254,254,255
0,4,250,255,254,254,255,255
255,0,251,255,255,255,255,255
0,6,248,255,255,254,254,255
255,0,254,255,255,255,255,253
255,11,252,255,255,255,255,255
0,18,247,254,252,250,254,253
0,5,253,255,255,255,255,255
254,1,252,255,255,255,254,254
0,3,247,254,253,254,254,254
0,5,249,254,254,254,253,254
0,7,252,255,255,254,252,253
0,6,242,252,250,255,253,254
255,7,251,254,255,253,255,255
0,4,252,254,252,255,254,254
255,0,251,254,254,254,255,255
0,9,250,255,254,255,255,255
255,30,254,254,249,255,255,255
0,9,241,254,253,255,254,255
255,0,253,255,254,254,255,255
255,1,255,255,255,255,255,254
0,8,241,253,252,251,254,254
0,2,251,255,252,254,255,255
0,5,251,253,243,250,254,252
0,11,249,255,253,254,254,254
0,13,254,255,254,255,255,255
0,26,246,255,254,254,255,255
255,5,234,255,255,255,255,255
255,2,254,254,255,255,255,254
0,5,251,254,249,254,254,254
0,2,251,250,252,252,252,252
0,7,251,254,250,253,255,255
